Resume_ID,Branch,Specialization,CGPA,Extracted_Keywords,Job_Role,Match_Percentage
R00001,Computer Science,Cybersecurity,7.96,"HTML, JavaScript, React, CSS, Redux",Frontend Developer,83
R00002,MBA (Tech Mgmt),Operations Management,8.59,"Azure, GCP, Cloud Security, Kubernetes, AWS",Cloud Engineer,93
R00003,Data Science,Big Data,8.99,"Tableau, SQL, Data Visualization, Power BI",Data Analyst,94
R00004,Data Science,Big Data,9.22,"Microservices, Spring Boot, SQL",Backend Developer,67
R00005,Artificial Intelligence,Natural Language Processing,7.58,"TensorFlow, Machine Learning, Statistics, SQL, Python",Data Scientist,71
R00006,Electronics,IoT & Cloud Systems,9.66,"SIEM, Network Security, Firewalls, Penetration Testing",Cybersecurity Analyst,88
R00007,Computer Science,Cybersecurity,9.77,"Agile, Scrum, Stakeholder Management",Product Manager,97
R00008,MBA (Tech Mgmt),Digital Business,7.14,"Power BI, SQL, Excel, Data Visualization, Tableau",Data Analyst,86
R00009,Information Technology,Data Analytics,9.59,"HTML, JavaScript, Redux, React, CSS",Frontend Developer,92
R00010,Computer Science,Software Engineering,7.9,"Ethical Hacking, SIEM, Firewalls, Network Security",Cybersecurity Analyst,66
R00011,Information Technology,Software Engineering,8.17,"Embedded Systems, IoT, ARM",Embedded Engineer,70
R00012,Information Technology,Data Analytics,9.42,"Stakeholder Management, Roadmap Planning, Agile, Scrum",Product Manager,82
R00013,Electronics,IoT & Cloud Systems,9.28,"SEO, Google Analytics, AdWords, Content Marketing",Digital Marketing Exec,93
R00014,Electrical,Power Systems,8.24,"Node.js, React, Docker, MongoDB, Express.js",Full Stack Developer,99
R00015,Information Technology,Data Analytics,8.87,"Stakeholder Management, Agile, Scrum",Product Manager,78
R00016,Civil,Structural Engineering,7.7,"Node.js, Express.js, Docker, React, MongoDB",Full Stack Developer,73
R00017,Data Science,Business Analytics,8.97,"Penetration Testing, Network Security, Ethical Hacking",Cybersecurity Analyst,67
R00018,Civil,Structural Engineering,9.67,"Content Marketing, AdWords, SEO, Google Analytics",Digital Marketing Exec,74
R00019,Artificial Intelligence,Deep Learning,9.12,"Prototyping, Figma, Wireframing",UI/UX Designer,89
R00020,Mechanical,Robotics,7.67,"Hugging Face, Transformers, Python",NLP Engineer,93
R00021,Artificial Intelligence,Natural Language Processing,9.42,"REST APIs, Microservices, Spring Boot",Backend Developer,80
R00022,Computer Science,Web Development,8.35,"Penetration Testing, Firewalls, Ethical Hacking",Cybersecurity Analyst,81
R00023,Electrical,Control Systems,9.09,"GCP, Cloud Security, Kubernetes",Cloud Engineer,98
R00024,Artificial Intelligence,Deep Learning,8.46,"HTML, CSS, JavaScript, Redux",Frontend Developer,69
R00025,MBA (Tech Mgmt),Operations Management,7.29,"Node.js, MongoDB, React, Docker",Full Stack Developer,97
R00026,Computer Science,Artificial Intelligence,7.26,"AWS, CI/CD, Terraform, Kubernetes, Docker",DevOps Engineer,83
R00027,MBA (Tech Mgmt),Operations Management,9.42,"JavaScript, HTML, CSS, Redux",Frontend Developer,82
R00028,Artificial Intelligence,Computer Vision,8.98,"Selenium, JUnit, Manual Testing, Automation Testing",QA Engineer,82
R00029,Artificial Intelligence,Computer Vision,9.19,"Java, Microservices, SQL, Spring Boot, REST APIs",Backend Developer,80
R00030,Information Technology,Software Engineering,7.7,"Google Analytics, AdWords, SEO",Digital Marketing Exec,76
R00031,Mechanical,Product Design,9.62,"Terraform, AWS, CI/CD, Kubernetes, Docker",DevOps Engineer,80
R00032,Computer Science,Machine Learning,8.02,"SEO, Content Marketing, AdWords",Digital Marketing Exec,82
R00033,Civil,Structural Engineering,9.55,"ARM, Embedded Systems, IoT, RTOS, C++",Embedded Engineer,73
R00034,Computer Science,Software Engineering,8.46,"GCP, Azure, Cloud Security, AWS",Cloud Engineer,85
R00035,Electronics,VLSI Design,7.79,"Python, Machine Learning, TensorFlow",Data Scientist,77
R00036,Electrical,Control Systems,9.07,"Embedded Systems, RTOS, C++",Embedded Engineer,88
R00037,Artificial Intelligence,Deep Learning,9.09,"Statistics, Machine Learning, TensorFlow",Data Scientist,65
R00038,Civil,Structural Engineering,8.29,"ARM, RTOS, C++",Embedded Engineer,67
R00039,Mechanical,Automation,8.8,"Transformers, Hugging Face, NLP, Text Mining",NLP Engineer,88
R00040,Mechanical,Automation,7.9,"Google Analytics, AdWords, SEO, Content Marketing",Digital Marketing Exec,96
R00041,Data Science,Data Engineering,8.24,"AWS, Kubernetes, CI/CD, Docker",DevOps Engineer,87
R00042,Information Technology,Software Engineering,7.97,"TensorFlow, SQL, Statistics",Data Scientist,70
R00043,Electronics,VLSI Design,8.13,"CI/CD, Docker, Terraform, AWS, Kubernetes",DevOps Engineer,69
R00044,Electrical,Power Systems,9.15,"Prototyping, User Research, Figma, Wireframing, UI/UX Design",UI/UX Designer,87
R00045,Information Technology,Data Analytics,8.45,"Figma, UI/UX Design, User Research, Prototyping",UI/UX Designer,87
R00046,Artificial Intelligence,Natural Language Processing,8.82,"Python, Hugging Face, Text Mining, Transformers, NLP",NLP Engineer,96
R00047,Civil,Construction Management,9.02,"Google Analytics, SEO, Content Marketing, AdWords",Digital Marketing Exec,100
R00048,Electrical,Control Systems,7.81,"TensorFlow, Machine Learning, Statistics, SQL",Data Scientist,66
R00049,Data Science,Data Engineering,8.14,"Express.js, Docker, React",Full Stack Developer,95
R00050,Computer Science,Web Development,8.49,"SQL, Machine Learning, TensorFlow, Statistics, Python",Data Scientist,100
R00051,Civil,Structural Engineering,8.19,"AWS, Kubernetes, Cloud Security, Azure, GCP",Cloud Engineer,88
R00052,Electronics,VLSI Design,7.54,"React, Docker, Node.js, Express.js, MongoDB",Full Stack Developer,99
R00053,Artificial Intelligence,Deep Learning,7.18,"Terraform, Docker, AWS, Kubernetes, CI/CD",DevOps Engineer,93
R00054,Computer Science,Artificial Intelligence,8.81,"Content Marketing, SEO, Google Analytics, AdWords",Digital Marketing Exec,83
R00055,Mechanical,Product Design,9.01,"C++, IoT, Embedded Systems, ARM, RTOS",Embedded Engineer,88
R00056,Information Technology,Human-Computer Interaction,8.9,"CI/CD, Terraform, AWS",DevOps Engineer,90
R00057,Electronics,IoT & Cloud Systems,8.35,"MongoDB, React, Express.js",Full Stack Developer,94
R00058,Artificial Intelligence,Deep Learning,9.04,"CSS, JavaScript, Redux, React, HTML",Frontend Developer,82
R00059,Electronics,IoT & Cloud Systems,8.6,"Wireframing, Figma, User Research, Prototyping, UI/UX Design",UI/UX Designer,85
R00060,MBA (Tech Mgmt),Product Management,7.64,"Stakeholder Management, Scrum, Roadmap Planning",Product Manager,87
R00061,Electronics,Embedded Systems,7.05,"REST APIs, SQL, Java",Backend Developer,79
R00062,Data Science,Data Engineering,9.21,"Ethical Hacking, Network Security, Penetration Testing, SIEM, Firewalls",Cybersecurity Analyst,82
R00063,Data Science,Data Engineering,8.8,"Selenium, Automation Testing, JUnit, Manual Testing",QA Engineer,82
R00064,Data Science,Big Data,9.05,"SQL, Data Visualization, Tableau, Power BI",Data Analyst,70
R00065,Computer Science,Software Engineering,7.5,"Google Analytics, Content Marketing, AdWords",Digital Marketing Exec,69
R00066,Mechanical,Automation,9.11,"Network Security, Ethical Hacking, Penetration Testing, SIEM, Firewalls",Cybersecurity Analyst,100
R00067,Mechanical,Automation,8.54,"JavaScript, CSS, HTML, React, Redux",Frontend Developer,80
R00068,Civil,Structural Engineering,8.66,"MongoDB, Docker, React, Express.js, Node.js",Full Stack Developer,69
R00069,Electronics,IoT & Cloud Systems,7.62,"GCP, Kubernetes, Cloud Security, AWS",Cloud Engineer,91
R00070,Computer Science,Cloud Computing,8.32,"Prototyping, User Research, Wireframing",UI/UX Designer,84
R00071,Data Science,Business Analytics,7.23,"SEO, AdWords, Content Marketing",Digital Marketing Exec,72
R00072,Data Science,Big Data,7.54,"NLP, Python, Text Mining",NLP Engineer,99
R00073,Computer Science,Cloud Computing,8.7,"NLP, Python, Transformers, Hugging Face",NLP Engineer,97
R00074,Electrical,Control Systems,9.1,"Machine Learning, Statistics, Python",Data Scientist,75
R00075,MBA (Tech Mgmt),Product Management,8.38,"Transformers, NLP, Python, Text Mining, Hugging Face",NLP Engineer,75
R00076,MBA (Tech Mgmt),Product Management,7.5,"SEO, Content Marketing, AdWords, Google Analytics",Digital Marketing Exec,91
R00077,Electronics,VLSI Design,8.05,"Penetration Testing, Ethical Hacking, SIEM",Cybersecurity Analyst,98
R00078,Information Technology,Software Engineering,9.39,"ARM, RTOS, Embedded Systems, IoT",Embedded Engineer,95
R00079,Information Technology,Human-Computer Interaction,8.06,"SIEM, Penetration Testing, Firewalls, Network Security",Cybersecurity Analyst,83
R00080,Electronics,Embedded Systems,7.51,"CI/CD, AWS, Terraform, Docker",DevOps Engineer,75
R00081,Electrical,Control Systems,8.6,"MongoDB, Express.js, Node.js",Full Stack Developer,74
R00082,MBA (Tech Mgmt),Digital Business,8.68,"Terraform, CI/CD, Kubernetes, AWS",DevOps Engineer,75
R00083,Electrical,Power Systems,7.3,"Java, Microservices, REST APIs",Backend Developer,72
R00084,Computer Science,Artificial Intelligence,8.14,"Docker, Node.js, MongoDB",Full Stack Developer,90
R00085,Civil,Structural Engineering,8.28,"Manual Testing, JUnit, Selenium",QA Engineer,84
R00086,Electronics,VLSI Design,7.68,"React, Docker, Express.js, MongoDB, Node.js",Full Stack Developer,76
R00087,Information Technology,Web Development,8.33,"Selenium, Automation Testing, JUnit, Manual Testing",QA Engineer,85
R00088,Artificial Intelligence,Deep Learning,7.31,"Figma, Prototyping, User Research, UI/UX Design, Wireframing",UI/UX Designer,79
R00089,Data Science,Big Data,8.1,"Power BI, Data Visualization, Tableau",Data Analyst,84
R00090,Civil,Structural Engineering,8.39,"Node.js, React, MongoDB, Express.js, Docker",Full Stack Developer,76
R00091,Electrical,Embedded Systems,9.5,"CI/CD, Kubernetes, Docker, AWS, Terraform",DevOps Engineer,71
R00092,Mechanical,Robotics,7.15,"Ethical Hacking, Firewalls, SIEM",Cybersecurity Analyst,84
R00093,Electronics,VLSI Design,7.47,"Roadmap Planning, Agile, Scrum, Stakeholder Management",Product Manager,77
R00094,Information Technology,Web Development,9.29,"Agile, Roadmap Planning, Stakeholder Management, Scrum",Product Manager,78
R00095,Electronics,VLSI Design,9.76,"Ethical Hacking, SIEM, Penetration Testing, Firewalls",Cybersecurity Analyst,73
R00096,Mechanical,Automation,8.4,"C++, Embedded Systems, IoT, RTOS, ARM",Embedded Engineer,99
R00097,Electrical,Control Systems,8.9,"Embedded Systems, C++, RTOS, ARM",Embedded Engineer,83
R00098,MBA (Tech Mgmt),Digital Business,7.0,"Figma, Wireframing, Prototyping",UI/UX Designer,65
R00099,Mechanical,Product Design,7.24,"Statistics, TensorFlow, Machine Learning, SQL, Python",Data Scientist,90
R00100,Information Technology,Human-Computer Interaction,9.54,"GCP, AWS, Cloud Security, Kubernetes, Azure",Cloud Engineer,99
R00101,Computer Science,Software Engineering,7.03,"User Research, Wireframing, Figma, UI/UX Design",UI/UX Designer,81
R00102,Artificial Intelligence,Deep Learning,7.97,"TensorFlow, Python, SQL, Statistics, Machine Learning",Data Scientist,65
R00103,MBA (Tech Mgmt),Digital Business,7.43,"Node.js, React, MongoDB",Full Stack Developer,74
